alpha,iter,coverage,set_size,conditional_coverage,mse,alpha_se,iter_se,coverage_se,set_size_se,conditional_coverage_se,mse_se
0.1,0.0,0.8923,3.4254677424511573,0.7373333209699464,1.0966616307847212,0.044721359549995794,,,,,
0.18888888888888888,0.0,0.7941,2.6969872602886995,0.6365443495960932,1.0966616307847212,0.08447367914999204,,,,,
0.2777777777777778,0.0,0.71,2.23532288044759,0.5160990460737855,1.0966616307847212,0.12422599874998831,,,,,
0.3666666666666667,0.0,0.6227,1.8732946024152546,0.4308768912504114,1.0966616307847212,0.16397831834998458,,,,,
0.4555555555555556,0.0,0.5355,1.5564322253653187,0.354128544219688,1.0966616307847212,0.20373063794998084,,,,,
0.5444444444444445,0.0,0.4446,1.2684192233959148,0.2752884478648131,1.0966616307847212,0.24348295754997712,,,,,
0.6333333333333333,0.0,0.3624,1.0126186748962807,0.20027339577012715,1.0966616307847212,0.2832352771499733,,,,,
0.7222222222222222,0.0,0.2787,0.766333389008541,0.125666414802658,1.0966616307847212,0.3229875967499696,,,,,
0.8111111111111111,0.0,0.1963,0.5218506321375981,0.058914896552646034,1.0966616307847212,0.3627399163499659,,,,,
0.9,0.0,0.1006,0.27109989038701743,0.011869151024289315,1.0966616307847212,0.40249223594996214,,,,,
